setBackground(찬우방_낮,false,1) playMusic(S1)
연애세포 "하아암~ 좋은 아침!" changeExpression(연애세포,연애세포_호탕,100)
연애세포 "찬우야, 너도 잘 잤..." changeExpression(연애세포,연애세포_호탕,100)
연애세포 "으아아아아아악!!!!" changeExpression(연애세포,연애세포_당황,100)
지찬우 "끄으으... 일어났어..." changeExpression(지찬우,지찬우_헐,100)
연애세포 "자다 일어난 게 아니라" changeExpression(연애세포,연애세포_당황,100)
연애세포 "방금 묘지에서 건져온 것 같은데?!" changeExpression(연애세포,연애세포_개싫음,100)
지찬우 "그게... 너무 긴장돼서 잠을 못잤..." changeExpression(지찬우,지찬우_삐질,100)
연애세포 "콘서트 하다가 쓰러지겠다!!" changeExpression(연애세포,연애세포_머쓱,100)
지찬우 "나도 자보려고 했는데..." changeExpression(지찬우,지찬우_삐질,100)
연애세포 "에잇, 이번만이야! 잔잔바리 잔잔!" changeExpression(연애세포,연애세포_짜증,100)
지찬우 "어? 뭐야? 갑자기 피로가 풀렸는데?" changeExpression(지찬우,지찬우_기본,100)
지찬우 "너 이런 것도 할 수 있어...?" changeExpression(지찬우,지찬우_기본,100)
지찬우 "매일 쓰고 싶다..." changeExpression(지찬우,지찬우_기본,100)
연애세포 "웃기는 소리 마." changeExpression(연애세포,연애세포_짜증,100)
연애세포 "내일 체력을 끌어온 거야." changeExpression(연애세포,연애세포_짜증,100)
연애세포 "그만큼 중요한 날이니까!" changeExpression(연애세포,연애세포_호탕,100)
연애세포 "마지막 기회라고 생각하고 잘하라고!" changeExpression(연애세포,연애세포_호탕,100)
지찬우 "마지막 기회..." changeExpression(지찬우,지찬우_기본,100)
지찬우 "은지랑 둘이 만나는 건 좋은데..." changeExpression(지찬우,지찬우_지루,100)
지찬우 "하필 준병이 콘서트..." changeExpression(지찬우,지찬우_지루,100)
지찬우 "나... 정말 은지랑 잘 될 수 있을까...?" changeExpression(지찬우,지찬우_기본,100)
연애세포 "나약해지지마!!!!!!!!!" changeExpression(연애세포,연애세포_버럭,100)
연애세포 "언제까지 뒷걸음질 칠거야?" changeExpression(연애세포,연애세포_버럭,100)
연애세포 "바보야, 잘 생각해봐." changeExpression(연애세포,연애세포_무표정,100)
연애세포 "너같으면 크리스마스에" changeExpression(연애세포,연애세포_짜증,100)
연애세포 "관심도 없는 애랑 만나겠냐?" changeExpression(연애세포,연애세포_버럭,100)
지찬우 "으아아... 넌 평소에는 그냥 애 같은데." changeExpression(지찬우,지찬우_기본,100)
지찬우 "가끔 엄청 맞는 말을 한단 말이야..." changeExpression(지찬우,지찬우_삐질,100)
지찬우 "알았어, 그만 할게." changeExpression(지찬우,지찬우_기본,100)
지찬우 "고마워, 진심이야." changeExpression(지찬우,지찬우_안도,100)

setBackground(크리스마스_거리,false,1) playMusic(S8)
지찬우 "크리스마스라서 그런가." changeExpression(지찬우,지찬우_머쓱,100)
