setMiniGameAfterBG(찬우방_낮,false,1) playMusic(S1)

연애세포 “락 스타일로 꾸며진 동태탕 가게” changeExpression(연애세포,연애세포_호탕,100)
지찬우 “그… 동태탕은 어때…?” changeExpression(지찬우,지찬우_기본,100)
최은지 “동태… 탕…?” changeExpression(최은지,전화받음,100)
최은지 “찬우… 동태탕 좋아해…?” changeExpression(최은지,전화받음,100)
지찬우 “어… 그렇다기 보다는…” changeExpression(지찬우,지찬우_기본,100)
지찬우 “저번에 지나가다가 봤는데” changeExpression(지찬우,지찬우_기본,100)
지찬우 “사장님이 준병이 팬이신 것 같더라고…” changeExpression(지찬우,지찬우_삐질,100)
최은지 “아하 그 가게 말하는거구나?” changeExpression(최은지,전화받음,100)
최은지 “나도 지나가다 몇 번 봤지!” changeExpression(최은지,전화받음,100)
최은지 “그런데 오늘은…” changeExpression(최은지,전화받음,100)
최은지 “그냥 식사가 하고 싶은 거라서…” changeExpression(최은지,전화받음,100)
최은지 “너랑 밥 먹으면서 이야기도 좀 하고…” changeExpression(최은지,전화받음,100)
최은지 “나 해물을 안먹기도 하고…!” changeExpression(최은지,전화받음,100)
지찬우 “……………..!” changeExpression(지찬우,지찬우_얼빠짐,100)
연애세포 “지찬우! 기본이잖아!” changeExpression(연애세포,연애세포_짜증,100)
연애세포 “빨리 은지는 뭐 좋아하는지 물어봐.” changeExpression(연애세포,연애세포_버럭,100)
지찬우 “은지야 넌 뭐 좋아해?” changeExpression(지찬우,지찬우_얼빠짐,100)
최은지 “음… 난 마라탕!” changeExpression(최은지,전화받음,100)
최은지 “사실 빨간 국물 요리는 다 좋아!” changeExpression(최은지,전화받음,100)
연애세포 “빨리 마라탕 먹자해.” changeExpression(연애세포,연애세포_짜증,100)
지찬우 “어 그럼 마라탕 어때?” ” changeExpression(지찬우,지찬우_얼빠짐,100)
최은지 “마라탕? 그래 그러자!” changeExpression(최은지,전화받음,100)
최은지 “그럼 5시에 사거리에서 보자!” changeExpression(최은지,전화받음,100)
최은지 “밥 먹고 버스킹 구경도 하게!” changeExpression(최은지,전화받음,100)
지찬우 “그래…! 그러자!” ” changeExpression(지찬우,지찬우_쑥스,100)
최은지 “이따 봐!” changeExpression(최은지,전화받음,100)

PlaySound(S_6)

지찬우 “어…? 어…?” changeExpression(지찬우,지찬우_어색웃음,100)
지찬우 “으…은지가…” changeExpression(지찬우,지찬우_어색웃음,100)
지찬우 “게임 때문도 아니고, changeExpression(지찬우,지찬우_어색웃음,100)
지찬우 “락 음악 때문도 아니고…” changeExpression(지찬우,지찬우_어색웃음,100)
지찬우 “그…그냥 밥을 먹자고…” changeExpression(지찬우,지찬우_어색웃음,100)
지찬우 “여…연락을…” changeExpression(지찬우,지찬우_어색웃음,100)
연애세포 “축하해 찬우야!” changeExpression(연애세포,연애세포_웃음,100)
연애세포 “이건 너 스스로 쟁취해낸 거야!” changeExpression(연애세포,연애세포_웃음,100)
연애세포 “역시 내 제자야!” changeExpression(연애세포,연애세포_웃음,100)
연애세포 “아주~ 뿌듯해!” changeExpression(연애세포,연애세포_호탕,100)
연애세포 “어서 준비하고 은지 만나러 가자!” changeExpression(연애세포,연애세포_웃음,100)
지찬우 “그래…!” changeExpression(지찬우,지찬우_쑥스,100)

countEnd()
goEnding()
